complaint_id,timestamp,city,complaint_type,phone_hash,bank_ref,description,lat,lon,withdrawal_flag,withdrawal_atm_id,withdrawal_time
CMP-2024-0015,2024-06-07 21:02:27,Kolkata,KYC Fraud,08e2db7b2dffdc02,SBIN347745,Fraudster posing as bank official updated KYC and drained the account.,22.45344,88.29069,yes,ATM-0079,2024-06-10 03:46:35
CMP-2022-0016,2022-12-07 05:17:08,Delhi,OTP Scam,8bb58b51a4ce387d,UNION896788,Victim shared OTP with caller impersonating bank support; funds transferred.,28.72794,77.15684,no,,
CMP-2022-0017,2022-11-09 19:04:56,Lucknow,KYC Fraud,66f01bd5baf5dbc7,KOTAK258290,Fraudster posing as bank official updated KYC and drained the account.,26.82863,80.93688,no,,
CMP-2023-0018,2023-10-11 18:11:59,Lucknow,Phishing,d3577a216887f97e,CNRB177794,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,26.78982,80.93177,yes,ATM-0147,2023-10-11 23:43:28
CMP-2024-0019,2024-03-08 13:43:25,Patna,UPI Fraud,1597d0c09c8d54dc,UNION631699,Unauthorized UPI transaction initiated from victim's account via social engineering.,25.55944,85.1617,no,,
CMP-2023-0020,2023-06-07 23:25:27,Chennai,OTP Scam,06098c18e906404f,UNION783501,Victim shared OTP with caller impersonating bank support; funds transferred.,12.98917,80.3022,no,,
CMP-2024-0021,2024-09-29 08:52:21,Ahmedabad,UPI Fraud,10fba118170dda4d,KOTAK849014,Unauthorized UPI transaction initiated from victim's account via social engineering.,22.8978,72.61524,yes,ATM-0363,2024-09-30 16:23:28
CMP-2021-0022,2021-08-20 18:33:19,Jaipur,Investment Scam,bfc1fdc7683ba1ad,KOTAK490963,Victim lured into fake crypto/stock investment platform and lost deposits.,27.03778,75.75352,no,,
CMP-2023-0023,2023-01-27 11:09:27,Chennai,KYC Fraud,d3b35aabdc219b43,KOTAK199096,Fraudster posing as bank official updated KYC and drained the account.,13.10009,80.23667,yes,ATM-0337,2023-01-30 08:35:42
CMP-2022-0024,2022-08-13 12:25:10,Delhi,KYC Fraud,c3135023ef3baa27,UNION795847,Fraudster posing as bank official updated KYC and drained the account.,28.59653,77.05745,no,,
CMP-2023-0025,2023-03-11 08:52:13,Pune,Credit Card Fraud,c0dac03dd782a1fd,ICICI424620,Card details skimmed online; multiple unauthorized international charges.,18.53808,73.89975,yes,ATM-0066,2023-03-13 09:07:07
CMP-2023-0026,2023-12-22 05:58:43,Coimbatore,SIM Swap,200e61da3189f6a4,YESB633188,SIM swapped without consent; OTPs intercepted and account emptied.,10.97535,76.91458,yes,ATM-0110,2023-12-23 06:35:00
CMP-2023-0027,2023-08-06 15:33:28,Bengaluru,Debit Card Fraud,4a8bfe283ee569c7,SBIN180913,Card cloned at compromised POS terminal; cash withdrawn from ATM.,12.91034,77.68104,no,,
CMP-2022-0028,2022-03-28 15:18:20,Coimbatore,SIM Swap,0534d367cca553ef,KOTAK903531,SIM swapped without consent; OTPs intercepted and account emptied.,11.05221,76.98497,yes,ATM-0093,2022-03-31 03:09:44
CMP-2023-0029,2023-08-17 11:24:26,Madurai,Credit Card Fraud,3ca1cf058ba28c6c,BOB145814,Card details skimmed online; multiple unauthorized international charges.,9.89846,78.17271,yes,ATM-0228,2023-08-19 07:22:13
CMP-2023-0030,2023-07-07 11:44:13,Madurai,OTP Scam,1c04ac19bb9d8591,CNRB350786,Victim shared OTP with caller impersonating bank support; funds transferred.,9.86804,78.21239,no,,
CMP-2024-0031,2024-01-04 17:36:09,Kolkata,Investment Scam,3983b3130fb3f59e,BOB906814,Victim lured into fake crypto/stock investment platform and lost deposits.,22.50713,88.32846,no,,
CMP-2024-0032,2024-10-18 02:14:40,Patna,Debit Card Fraud,069ecc332f35a18b,UNION245121,Card cloned at compromised POS terminal; cash withdrawn from ATM.,25.706,85.00325,no,,
CMP-2021-0033,2021-03-24 07:49:02,Indore,UPI Fraud,3a33a64abc3c6b4b,CNRB992512,Unauthorized UPI transaction initiated from victim's account via social engineering.,22.607,75.73286,yes,ATM-0231,2021-03-27 00:59:58
CMP-2019-0034,2019-11-19 20:10:54,Pune,UPI Fraud,a287d5c8fb39340e,BOB466566,Unauthorized UPI transaction initiated from victim's account via social engineering.,18.64954,73.83117,yes,ATM-0192,2019-11-20 13:09:27
CMP-2024-0035,2024-12-19 00:07:15,Kolkata,Debit Card Fraud,829f8f8dec32d80c,KOTAK203896,Card cloned at compromised POS terminal; cash withdrawn from ATM.,22.67435,88.40889,no,,
CMP-2019-0036,2019-10-29 11:32:12,Hyderabad,OTP Scam,cf28a05b5a22a2c4,SBIN895702,Victim shared OTP with caller impersonating bank support; funds transferred.,17.44666,78.47128,yes,ATM-0041,2019-10-29 12:54:18
CMP-2020-0037,2020-04-17 11:59:20,Delhi,SIM Swap,c18828cb5d06b16a,UNION653408,SIM swapped without consent; OTPs intercepted and account emptied.,28.68108,77.18535,yes,ATM-0063,2020-04-17 15:25:37
CMP-2021-0038,2021-07-08 20:06:23,Madurai,Investment Scam,d9aa1e06ca9f49de,ICICI216242,Victim lured into fake crypto/stock investment platform and lost deposits.,10.02621,78.11975,no,,
CMP-2022-0039,2022-10-16 14:43:07,Lucknow,Debit Card Fraud,1d7e3ee7939ef3e7,SBIN405420,Card cloned at compromised POS terminal; cash withdrawn from ATM.,26.82547,80.98064,yes,ATM-0214,2022-10-17 04:12:18
CMP-2023-0040,2023-01-04 01:24:44,Jaipur,KYC Fraud,2c5965a42ee049e8,CNRB670511,Fraudster posing as bank official updated KYC and drained the account.,26.9146,75.9338,no,,
CMP-2021-0041,2021-05-05 11:37:08,Ahmedabad,Phishing,925d5a242d7758d0,YESB491435,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,22.9486,72.42627,no,,
CMP-2021-0042,2021-01-25 11:05:39,Coimbatore,UPI Fraud,373afdb4f8dd4e5a,UNION870899,Unauthorized UPI transaction initiated from victim's account via social engineering.,11.0938,76.84582,yes,ATM-0174,2021-01-27 21:40:00
CMP-2020-0043,2020-01-19 14:53:11,Madurai,OTP Scam,afd00c6c295c7bc2,BOB762423,Victim shared OTP with caller impersonating bank support; funds transferred.,9.82988,78.01026,no,,
CMP-2024-0044,2024-08-29 10:31:59,Chennai,Lottery Scam,69e2dc5155cd44dd,HDFC929538,Victim paid processing fee for fake lottery winnings and lost money.,12.99254,80.13327,no,,
CMP-2022-0045,2022-02-03 04:55:50,Patna,SIM Swap,5d42b419cb35a945,PNB138399,SIM swapped without consent; OTPs intercepted and account emptied.,25.67009,85.04493,yes,ATM-0025,2022-02-05 19:16:05
CMP-2020-0046,2020-12-28 05:55:39,Mumbai,KYC Fraud,0007b914bb71a733,YESB879414,Fraudster posing as bank official updated KYC and drained the account.,19.05792,73.01464,yes,ATM-0096,2020-12-29 17:39:15
CMP-2021-0047,2021-12-26 01:46:12,Indore,SIM Swap,7cfacf737dce9c81,ICICI862400,SIM swapped without consent; OTPs intercepted and account emptied.,22.69695,75.83688,no,,
CMP-2020-0048,2020-01-31 09:07:25,Hyderabad,KYC Fraud,7b05c42796fd852b,ICICI443848,Fraudster posing as bank official updated KYC and drained the account.,17.43328,78.42865,no,,
CMP-2021-0049,2021-07-22 14:53:15,Coimbatore,OTP Scam,128f6d08fa165e0c,BOB144412,Victim shared OTP with caller impersonating bank support; funds transferred.,11.08484,77.07928,no,,
CMP-2021-0050,2021-08-10 22:54:41,Surat,Phishing,71c4815bf4657a92,YESB480959,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,21.17413,72.90607,yes,ATM-0016,2021-08-11 09:11:29
CMP-2022-0051,2022-08-24 04:36:48,Madurai,OTP Scam,25a9bf5fa26ad1de,SBIN170499,Victim shared OTP with caller impersonating bank support; funds transferred.,9.846,78.16335,yes,ATM-0291,2022-08-24 06:56:43
CMP-2019-0052,2019-12-03 04:23:32,Ahmedabad,KYC Fraud,cbc49b6d975ddb55,BOB900152,Fraudster posing as bank official updated KYC and drained the account.,22.89557,72.46271,yes,ATM-0161,2019-12-05 03:09:38
CMP-2020-0053,2020-06-30 21:34:44,Mumbai,Phishing,2128c7c5027306ad,SBIN623285,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,19.08132,73.00176,yes,ATM-0134,2020-07-03 00:16:11
CMP-2020-0054,2020-04-15 02:58:16,Lucknow,Lottery Scam,8c0b655fa39743ee,BOB309902,Victim paid processing fee for fake lottery winnings and lost money.,26.73349,81.05205,no,,
CMP-2024-0055,2024-05-23 00:08:17,Ahmedabad,UPI Fraud,cf87f274d4a8e412,KOTAK800280,Unauthorized UPI transaction initiated from victim's account via social engineering.,22.97673,72.44088,no,,
CMP-2024-0056,2024-05-06 21:47:06,Patna,Credit Card Fraud,ffb8ef01079f4e38,SBIN932250,Card details skimmed online; multiple unauthorized international charges.,25.55255,85.05487,no,,
CMP-2023-0057,2023-10-02 09:58:52,Bengaluru,OTP Scam,c20650751ab507f9,KOTAK680933,Victim shared OTP with caller impersonating bank support; funds transferred.,12.99328,77.58482,no,,
CMP-2019-0058,2019-10-12 07:53:25,Indore,UPI Fraud,a048242920d2536e,PNB517500,Unauthorized UPI transaction initiated from victim's account via social engineering.,22.86948,75.92336,no,,
CMP-2023-0059,2023-08-13 05:44:55,Patna,Investment Scam,ec268624a3320af4,SBIN432427,Victim lured into fake crypto/stock investment platform and lost deposits.,25.6368,85.12259,no,,
CMP-2021-0060,2021-01-24 19:57:54,Indore,SIM Swap,34801f65a00d0029,UNION290802,SIM swapped without consent; OTPs intercepted and account emptied.,22.79993,75.74641,no,,
CMP-2024-0061,2024-03-17 06:02:24,Patna,UPI Fraud,fc8af762c10bd0dc,SBIN418897,Unauthorized UPI transaction initiated from victim's account via social engineering.,25.4935,85.0844,no,,
CMP-2021-0062,2021-01-28 03:16:39,Jaipur,Lottery Scam,17386de7bf3685cf,PNB305837,Victim paid processing fee for fake lottery winnings and lost money.,26.95292,75.80255,yes,ATM-0156,2021-01-29 23:30:59
CMP-2019-0063,2019-07-24 16:50:21,Surat,Credit Card Fraud,95185090f2ac1ff1,UNION261684,Card details skimmed online; multiple unauthorized international charges.,21.07156,72.86844,no,,
CMP-2021-0064,2021-01-09 17:23:18,Indore,Investment Scam,f58d6f37becbb63a,HDFC185168,Victim lured into fake crypto/stock investment platform and lost deposits.,22.58324,75.90014,no,,
CMP-2022-0065,2022-11-27 15:01:07,Madurai,Investment Scam,856987f2968f51d5,UNION770030,Victim lured into fake crypto/stock investment platform and lost deposits.,9.78429,78.2365,no,,
CMP-2022-0066,2022-11-07 10:03:10,Hyderabad,OTP Scam,9fc0539b333f8cf9,YESB411882,Victim shared OTP with caller impersonating bank support; funds transferred.,17.37106,78.54328,yes,ATM-0213,2022-11-08 20:55:08
CMP-2020-0067,2020-03-23 00:20:46,Lucknow,Credit Card Fraud,807b600e3acfd6ac,KOTAK869864,Card details skimmed online; multiple unauthorized international charges.,26.99311,80.89981,yes,ATM-0190,2020-03-24 13:25:28
CMP-2019-0068,2019-08-21 15:34:33,Bengaluru,OTP Scam,150a28c4d6f5bb05,PNB571435,Victim shared OTP with caller impersonating bank support; funds transferred.,12.89598,77.47364,yes,ATM-0197,2019-08-24 05:47:44
CMP-2021-0069,2021-07-05 03:11:50,Patna,Credit Card Fraud,6205a14a575189de,KOTAK705748,Card details skimmed online; multiple unauthorized international charges.,25.66044,85.04455,yes,ATM-0264,2021-07-06 12:48:28
CMP-2024-0070,2024-04-10 01:18:52,Ahmedabad,Phishing,62ec2a2ad039d3ba,YESB629996,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,23.00967,72.49362,no,,
CMP-2019-0071,2019-04-17 14:38:21,Hyderabad,OTP Scam,56569e1b4eb393e9,BOB399628,Victim shared OTP with caller impersonating bank support; funds transferred.,17.39601,78.59085,yes,ATM-0136,2019-04-19 19:01:11
CMP-2023-0072,2023-08-01 14:38:38,Kolkata,Phishing,e4db0829a587e0e5,HDFC697983,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,22.59115,88.32266,yes,ATM-0198,2023-08-03 02:57:01
CMP-2023-0073,2023-08-02 19:25:33,Hyderabad,Investment Scam,8133e750a8a58f07,UNION224582,Victim lured into fake crypto/stock investment platform and lost deposits.,17.2736,78.3657,yes,ATM-0174,2023-08-04 11:35:23
CMP-2021-0074,2021-03-12 01:02:43,Delhi,Debit Card Fraud,dcd527ec52fcbfbd,CNRB520884,Card cloned at compromised POS terminal; cash withdrawn from ATM.,28.70412,76.96609,yes,ATM-0171,2021-03-14 10:55:51
CMP-2022-0075,2022-02-11 20:35:28,Delhi,Investment Scam,037519528ecae759,SBIN443897,Victim lured into fake crypto/stock investment platform and lost deposits.,28.83351,77.04806,yes,ATM-0316,2022-02-14 01:49:20
CMP-2020-0076,2020-10-17 14:56:19,Kolkata,SIM Swap,d381aeeaee51e8bb,CNRB658198,SIM swapped without consent; OTPs intercepted and account emptied.,22.56955,88.38278,no,,
CMP-2019-0077,2019-02-06 10:50:15,Kolkata,UPI Fraud,ad209a56c4d38340,UNION422623,Unauthorized UPI transaction initiated from victim's account via social engineering.,22.66163,88.4315,no,,
CMP-2019-0078,2019-02-28 09:12:50,Ahmedabad,Lottery Scam,f4c5d9c844d32d44,UNION705693,Victim paid processing fee for fake lottery winnings and lost money.,22.94076,72.43681,no,,
CMP-2022-0079,2022-02-22 14:13:58,Coimbatore,Investment Scam,48f2c1a8ac9a94eb,YESB254954,Victim lured into fake crypto/stock investment platform and lost deposits.,11.1133,76.87846,no,,
CMP-2023-0080,2023-03-15 20:11:29,Bengaluru,Phishing,6f76baf942689dc5,KOTAK539122,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,12.86703,77.65175,yes,ATM-0314,2023-03-18 14:28:08
CMP-2024-0081,2024-03-27 08:14:47,Coimbatore,Phishing,200f7e54ecb61c4b,SBIN643878,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,10.929,76.90331,no,,
CMP-2022-0082,2022-02-25 07:41:25,Kolkata,Credit Card Fraud,a28bfaac2ccd8a3e,CNRB458955,Card details skimmed online; multiple unauthorized international charges.,22.58648,88.41666,no,,
CMP-2023-0083,2023-01-31 12:20:30,Madurai,Lottery Scam,c1a5837d053917b0,BOB301603,Victim paid processing fee for fake lottery winnings and lost money.,10.0624,78.0535,yes,ATM-0153,2023-02-02 19:51:59
CMP-2023-0084,2023-03-25 10:30:39,Coimbatore,OTP Scam,37e54a8dc40eb4c3,BOB465746,Victim shared OTP with caller impersonating bank support; funds transferred.,11.03495,77.08615,no,,
CMP-2020-0085,2020-09-22 13:06:59,Lucknow,SIM Swap,448d9138dc749209,YESB958130,SIM swapped without consent; OTPs intercepted and account emptied.,26.80024,81.02812,yes,ATM-0022,2020-09-23 09:49:33
CMP-2023-0086,2023-04-14 16:24:19,Kolkata,OTP Scam,34f2b52d3c5cf5b1,PNB883641,Victim shared OTP with caller impersonating bank support; funds transferred.,22.56632,88.27452,no,,
CMP-2024-0087,2024-08-06 06:07:49,Coimbatore,Lottery Scam,2fdc7472001d06ca,ICICI745584,Victim paid processing fee for fake lottery winnings and lost money.,11.08907,76.87758,yes,ATM-0272,2024-08-06 22:22:44
CMP-2020-0088,2020-05-25 03:28:39,Mumbai,Loan Fraud,992ed9455a70d95d,BOB205428,Fraudulent loan approved in victim's name; money diverted to mule account.,19.13036,72.76894,no,,
CMP-2024-0089,2024-11-12 14:27:24,Delhi,Loan Fraud,19a6f4044a704512,BOB600641,Fraudulent loan approved in victim's name; money diverted to mule account.,28.74926,77.17927,yes,ATM-0147,2024-11-14 12:57:41
CMP-2024-0090,2024-06-12 06:57:25,Mumbai,Investment Scam,8a905fc4ba1a702b,CNRB874568,Victim lured into fake crypto/stock investment platform and lost deposits.,19.14294,73.0087,no,,
CMP-2020-0091,2020-01-19 13:36:22,Indore,Credit Card Fraud,db65b1499be42e29,YESB926236,Card details skimmed online; multiple unauthorized international charges.,22.71822,75.98868,no,,
CMP-2024-0092,2024-07-21 22:52:17,Indore,Phishing,f92e847e2c611929,PNB695551,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,22.75043,75.98624,yes,ATM-0233,2024-07-24 22:05:11
CMP-2022-0093,2022-04-05 08:54:45,Ahmedabad,Credit Card Fraud,003f6d8b26c1499d,BOB386090,Card details skimmed online; multiple unauthorized international charges.,22.93034,72.45519,yes,ATM-0235,2022-04-07 07:35:21
CMP-2023-0094,2023-04-24 10:45:58,Chennai,KYC Fraud,1f2d1d37f738510d,PNB695361,Fraudster posing as bank official updated KYC and drained the account.,13.13502,80.17865,no,,
CMP-2022-0095,2022-10-31 10:45:25,Pune,Loan Fraud,658ed11c3545bc6a,KOTAK190951,Fraudulent loan approved in victim's name; money diverted to mule account.,18.49065,73.73532,no,,
CMP-2021-0096,2021-11-12 02:26:46,Indore,Debit Card Fraud,d20c9564e49179e3,PNB502206,Card cloned at compromised POS terminal; cash withdrawn from ATM.,22.64026,75.93383,no,,
CMP-2020-0097,2020-10-23 13:31:12,Coimbatore,Investment Scam,15d274567a48fe67,PNB785436,Victim lured into fake crypto/stock investment platform and lost deposits.,10.97467,76.87669,no,,
CMP-2021-0098,2021-10-16 16:19:48,Delhi,Loan Fraud,9342c58040ec1e44,CNRB837733,Fraudulent loan approved in victim's name; money diverted to mule account.,28.78505,77.15959,no,,
CMP-2024-0099,2024-08-22 22:23:01,Kolkata,Investment Scam,905e4a67ae19823e,AXIS240057,Victim lured into fake crypto/stock investment platform and lost deposits.,22.56605,88.35039,no,,
CMP-2021-0100,2021-03-29 14:41:19,Coimbatore,SIM Swap,36f39878352bed09,CNRB940952,SIM swapped without consent; OTPs intercepted and account emptied.,11.06603,76.87132,yes,ATM-0306,2021-04-01 05:33:15
CMP-2019-0101,2019-06-29 09:04:05,Ahmedabad,SIM Swap,46c110379d33115e,KOTAK181896,SIM swapped without consent; OTPs intercepted and account emptied.,23.14767,72.45506,no,,
CMP-2024-0102,2024-06-01 05:28:15,Bengaluru,Investment Scam,397b8d6c34f29a05,SBIN272529,Victim lured into fake crypto/stock investment platform and lost deposits.,12.92004,77.6007,yes,ATM-0106,2024-06-03 09:05:20
CMP-2021-0103,2021-12-07 00:31:47,Indore,SIM Swap,1af8d393b82ca4fc,HDFC575458,SIM swapped without consent; OTPs intercepted and account emptied.,22.60918,75.83233,no,,
CMP-2022-0104,2022-05-09 07:47:30,Surat,Lottery Scam,e2367830bc858bcb,HDFC515182,Victim paid processing fee for fake lottery winnings and lost money.,21.09654,72.682,yes,ATM-0038,2022-05-09 11:03:10
CMP-2021-0105,2021-01-24 20:42:21,Mumbai,SIM Swap,1468cdffd480f38d,ICICI595002,SIM swapped without consent; OTPs intercepted and account emptied.,18.93552,72.85036,no,,
CMP-2023-0106,2023-08-05 22:16:58,Coimbatore,Loan Fraud,90ac38b3308b483e,YESB570325,Fraudulent loan approved in victim's name; money diverted to mule account.,11.12769,77.07783,yes,ATM-0350,2023-08-08 19:42:04
CMP-2024-0107,2024-03-31 03:31:58,Delhi,KYC Fraud,90ff11f65f4b914e,SBIN663356,Fraudster posing as bank official updated KYC and drained the account.,28.67202,76.9907,no,,
CMP-2024-0108,2024-01-04 02:15:34,Madurai,Phishing,c4a1477575e1d7ce,BOB806215,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,9.99093,78.09704,yes,ATM-0118,2024-01-04 20:04:49
CMP-2021-0109,2021-01-28 10:27:48,Hyderabad,Debit Card Fraud,8eefe34a44856502,ICICI133782,Card cloned at compromised POS terminal; cash withdrawn from ATM.,17.47784,78.46247,no,,
CMP-2024-0110,2024-04-20 07:27:29,Chennai,Debit Card Fraud,016fe4e87ca644a8,ICICI205797,Card cloned at compromised POS terminal; cash withdrawn from ATM.,13.11088,80.25463,no,,
CMP-2024-0111,2024-03-26 00:25:03,Bengaluru,Phishing,e52dd584c22207ac,BOB345722,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,12.98353,77.67092,no,,
CMP-2019-0112,2019-11-04 00:53:20,Hyderabad,Debit Card Fraud,1d8faa5238d2484e,UNION434394,Card cloned at compromised POS terminal; cash withdrawn from ATM.,17.40824,78.56846,no,,
CMP-2020-0113,2020-06-03 01:21:42,Indore,Credit Card Fraud,7be0205c81bbe92d,CNRB331780,Card details skimmed online; multiple unauthorized international charges.,22.69367,75.79025,no,,
CMP-2022-0114,2022-07-20 08:13:26,Coimbatore,Credit Card Fraud,1daa68f88b01ebfa,YESB682851,Card details skimmed online; multiple unauthorized international charges.,11.01549,77.09749,no,,
CMP-2023-0115,2023-01-10 21:52:31,Madurai,SIM Swap,c971cedf68d53fba,YESB528090,SIM swapped without consent; OTPs intercepted and account emptied.,9.81997,78.08274,no,,
CMP-2021-0116,2021-11-03 11:30:49,Patna,Debit Card Fraud,b31cb4f3c3f6f740,SBIN944917,Card cloned at compromised POS terminal; cash withdrawn from ATM.,25.58301,85.00489,yes,ATM-0214,2021-11-05 03:38:17
CMP-2019-0117,2019-10-21 19:07:59,Bengaluru,Lottery Scam,4fa604d532af99cc,KOTAK778120,Victim paid processing fee for fake lottery winnings and lost money.,12.84532,77.57954,yes,ATM-0275,2019-10-23 23:18:11
CMP-2020-0118,2020-02-22 08:17:07,Hyderabad,Loan Fraud,274f68478c31c077,UNION732209,Fraudulent loan approved in victim's name; money diverted to mule account.,17.24686,78.35854,no,,
CMP-2022-0119,2022-07-11 09:30:02,Surat,SIM Swap,6355cd3493d82c9e,BOB319036,SIM swapped without consent; OTPs intercepted and account emptied.,21.28104,72.78099,no,,
CMP-2019-0120,2019-02-03 14:18:27,Indore,Debit Card Fraud,5d60012a0aca8876,ICICI883159,Card cloned at compromised POS terminal; cash withdrawn from ATM.,22.86947,75.85138,yes,ATM-0310,2019-02-05 16:58:44
CMP-2021-0121,2021-05-19 00:30:00,Bengaluru,SIM Swap,4a8f49a7c1a199b1,PNB499152,SIM swapped without consent; OTPs intercepted and account emptied.,12.96148,77.63922,yes,ATM-0185,2021-05-20 13:25:22
CMP-2021-0122,2021-12-25 12:49:45,Mumbai,OTP Scam,51a8484dc6da7973,KOTAK312994,Victim shared OTP with caller impersonating bank support; funds transferred.,19.03721,72.85188,no,,
CMP-2020-0123,2020-04-29 19:28:37,Delhi,Phishing,c02b44a467799cb1,CNRB712401,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,28.72784,77.07777,yes,ATM-0169,2020-04-30 12:02:18
CMP-2022-0124,2022-06-02 09:48:42,Bengaluru,OTP Scam,85132f5eb738a82f,KOTAK369826,Victim shared OTP with caller impersonating bank support; funds transferred.,13.05061,77.59119,no,,
CMP-2023-0125,2023-06-09 10:48:56,Ahmedabad,Credit Card Fraud,8a2a85ac10206eaa,KOTAK277487,Card details skimmed online; multiple unauthorized international charges.,22.91449,72.58536,yes,ATM-0278,2023-06-12 10:07:08
CMP-2024-0126,2024-09-28 07:20:41,Jaipur,Phishing,eba7c8d928021c4f,HDFC901467,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,26.76432,75.67855,no,,
CMP-2019-0127,2019-05-29 22:01:34,Delhi,Phishing,4c4a4e0b0044217e,CNRB578160,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,28.66606,77.13785,no,,
CMP-2022-0128,2022-09-12 19:03:14,Ahmedabad,OTP Scam,12376e7c91e22f64,HDFC658065,Victim shared OTP with caller impersonating bank support; funds transferred.,23.03799,72.42496,no,,
CMP-2020-0129,2020-08-24 22:58:00,Hyderabad,Phishing,75ad14dda5b88ccb,YESB945328,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,17.51691,78.39048,no,,
CMP-2022-0130,2022-02-22 22:16:54,Bengaluru,Debit Card Fraud,158dfd70a7d51665,CNRB364679,Card cloned at compromised POS terminal; cash withdrawn from ATM.,13.06616,77.5248,yes,ATM-0192,2022-02-25 19:21:04
CMP-2021-0131,2021-10-02 15:56:14,Bengaluru,Debit Card Fraud,48d58658f2e14a51,ICICI785491,Card cloned at compromised POS terminal; cash withdrawn from ATM.,13.1191,77.63957,yes,ATM-0208,2021-10-03 19:14:40
CMP-2022-0132,2022-04-25 23:15:08,Chennai,Phishing,535a7e0d2d9da05c,SBIN186702,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,13.08266,80.25087,no,,
CMP-2022-0133,2022-05-24 19:00:17,Patna,UPI Fraud,b4c5df502eec7055,HDFC340927,Unauthorized UPI transaction initiated from victim's account via social engineering.,25.50753,85.24804,no,,
CMP-2021-0134,2021-11-07 19:42:25,Chennai,UPI Fraud,8b6d7ffb2c1d0a4d,PNB669408,Unauthorized UPI transaction initiated from victim's account via social engineering.,13.10175,80.13057,no,,
